parking_lot_number,Timestamp,Occupancy,VehicleType_weighted,traffic_condition_weighted,QueueLength,IsSpecialDay,Capacity,Latitude,Longitude
13,2016-10-14 16:01:00,940,1.0,0,2,0,3103,26.14749998,91.72797778
8,2016-10-14 16:01:00,1048,0.5,0,2,0,2009,26.14747299,91.72804914
7,2016-10-14 16:01:00,584,1.0,0,2,0,1322,26.14754886,91.72799519
11,2016-10-14 16:01:00,2057,0.7,1,3,0,3883,26.14749943,91.72800489
10,2016-10-14 16:34:00,240,0.5,0,2,0,387,26.14449459,91.73620513
12,2016-10-14 16:34:00,960,1.0,0,2,0,2937,26.14749053,91.72799688
0,2016-10-14 16:34:00,134,1.0,0,2,0,577,26.14453614,91.73617216
6,2016-10-14 16:34:00,436,1.0,1,2,0,690,26.13795775,91.74099445
8,2016-10-14 16:34:00,986,1.0,0,2,0,2009,26.14747299,91.72804914
13,2016-10-14 16:34:00,876,1.0,0,3,0,3103,26.14749998,91.72797778
7,2016-10-14 16:34:00,564,1.0,0,3,0,1322,26.14754886,91.72799519
11,2016-10-14 16:34:00,1783,1.0,0,3,0,3883,26.14749943,91.72800489
9,2016-10-14 16:34:00,411,1.5,1,2,0,2803,26.14754061,91.72797041
1,2016-10-14 16:34:00,462,0.5,0,2,0,1200,26.14001386,91.73099967
5,2016-10-14 16:34:00,292,1.0,0,2,0,470,26.14901995,91.7395035
2,2016-10-14 16:34:00,422,1.0,0,2,0,687,20.0000347,78.00000286
3,2016-10-14 16:34:00,283,1.0,0,2,0,485,26.14004753,91.73097233
4,2016-10-14 16:34:00,832,1.0,0,2,0,1920,26.15050395,91.73353109
3,2016-10-15 07:54:00,251,1.0,0,2,0,485,26.14004753,91.73097233
0,2016-10-15 08:01:00,53,0.7,0,1,0,577,26.14453614,91.73617216
1,2016-10-15 08:01:00,94,1.0,0,1,0,1200,26.14001386,91.73099967
11,2016-10-15 08:01:00,527,0.7,0,2,0,3883,26.14749943,91.72800489
7,2016-10-15 08:01:00,351,1.5,0,2,0,1322,26.14754886,91.72799519
4,2016-10-15 08:01:00,290,1.0,0,2,0,1920,26.15050395,91.73353109
9,2016-10-15 08:01:00,116,1.0,0,2,0,2803,26.14754061,91.72797041
2,2016-10-15 08:01:00,255,1.0,0,2,0,687,20.0000347,78.00000286
10,2016-10-15 08:01:00,92,1.0,0,1,0,387,26.14449459,91.73620513
5,2016-10-15 08:01:00,42,1.5,0,1,0,470,26.14901995,91.7395035
13,2016-10-15 08:01:00,530,1.0,0,2,0,3103,26.14749998,91.72797778
8,2016-10-15 08:01:00,606,1.0,0,2,0,2009,26.14747299,91.72804914
12,2016-10-15 08:01:00,416,1.0,0,2,0,2937,26.14749053,91.72799688
6,2016-10-15 08:01:00,73,0.5,0,2,0,690,26.13795775,91.74099445
13,2016-10-15 08:34:00,540,1.0,0,3,0,3103,26.14749998,91.72797778
1,2016-10-15 08:34:00,116,1.0,0,2,0,1200,26.14001386,91.73099967
5,2016-10-15 08:34:00,52,1.0,0,1,0,470,26.14901995,91.7395035
11,2016-10-15 08:34:00,602,0.7,0,2,0,3883,26.14749943,91.72800489
3,2016-10-15 08:34:00,253,0.7,0,2,0,485,26.14004753,91.73097233
12,2016-10-15 08:34:00,451,1.0,1,2,0,2937,26.14749053,91.72799688
8,2016-10-15 08:34:00,631,0.7,0,2,0,2009,26.14747299,91.72804914
4,2016-10-15 08:34:00,342,1.0,0,2,0,1920,26.15050395,91.73353109
10,2016-10-15 08:34:00,107,0.5,0,1,0,387,26.14449459,91.73620513
9,2016-10-15 08:34:00,132,1.0,0,1,0,2803,26.14754061,91.72797041
7,2016-10-15 08:34:00,369,1.0,0,2,0,1322,26.14754886,91.72799519
2,2016-10-15 08:34:00,262,1.0,0,2,0,687,20.0000347,78.00000286
6,2016-10-15 08:34:00,91,1.0,0,2,0,690,26.13795775,91.74099445
0,2016-10-15 08:34:00,63,1.0,0,1,0,577,26.14453614,91.73617216
0,2016-10-15 09:01:00,77,1.0,0,2,0,577,26.14453614,91.73617216
8,2016-10-15 09:01:00,683,1.0,0,2,0,2009,26.14747299,91.72804914
5,2016-10-15 09:01:00,58,0.5,0,2,0,470,26.14901995,91.7395035
9,2016-10-15 09:01:00,161,0.7,1,3,0,2803,26.14754061,91.72797041
13,2016-10-15 09:01:00,568,1.0,1,3,0,3103,26.14749998,91.72797778
2,2016-10-15 09:01:00,277,1.0,0,2,0,687,20.0000347,78.00000286
3,2016-10-15 09:01:00,260,1.5,0,2,0,485,26.14004753,91.73097233
6,2016-10-15 09:01:00,100,1.0,1,2,0,690,26.13795775,91.74099445
11,2016-10-15 09:01:00,661,1.5,1,3,0,3883,26.14749943,91.72800489
4,2016-10-15 09:01:00,391,1.0,0,2,0,1920,26.15050395,91.73353109
12,2016-10-15 09:01:00,490,1.5,0,2,0,2937,26.14749053,91.72799688
7,2016-10-15 09:01:00,406,1.0,0,2,0,1322,26.14754886,91.72799519
10,2016-10-15 09:01:00,130,1.5,1,2,0,387,26.14449459,91.73620513
1,2016-10-15 09:01:00,143,1.0,0,2,0,1200,26.14001386,91.73099967
2,2016-10-15 09:27:00,290,1.0,1,3,0,687,20.0000347,78.00000286
0,2016-10-15 09:27:00,101,1.0,0,2,0,577,26.14453614,91.73617216
12,2016-10-15 09:27:00,545,1.0,0,2,0,2937,26.14749053,91.72799688
5,2016-10-15 09:27:00,61,0.5,0,2,0,470,26.14901995,91.7395035
3,2016-10-15 09:27:00,275,0.7,1,3,0,485,26.14004753,91.73097233
8,2016-10-15 09:27:00,760,1.0,0,3,0,2009,26.14747299,91.72804914
9,2016-10-15 09:27:00,203,1.0,0,3,0,2803,26.14754061,91.72797041
10,2016-10-15 09:27:00,167,1.0,0,1,0,387,26.14449459,91.73620513
4,2016-10-15 09:27:00,437,0.7,0,2,0,1920,26.15050395,91.73353109
13,2016-10-15 09:27:00,601,1.0,1,3,0,3103,26.14749998,91.72797778
6,2016-10-15 09:27:00,103,1.5,0,2,0,690,26.13795775,91.74099445
7,2016-10-15 09:27:00,470,0.7,1,3,0,1322,26.14754886,91.72799519
1,2016-10-15 09:27:00,161,1.0,0,2,0,1200,26.14001386,91.73099967
11,2016-10-15 09:27:00,737,1.0,0,3,0,3883,26.14749943,91.72800489
6,2016-10-15 10:01:00,115,1.0,0,2,0,690,26.13795775,91.74099445
9,2016-10-15 10:01:00,254,1.0,0,3,0,2803,26.14754061,91.72797041
10,2016-10-15 10:01:00,206,1.0,0,3,0,387,26.14449459,91.73620513
4,2016-10-15 10:01:00,500,1.0,0,3,0,1920,26.15050395,91.73353109
12,2016-10-15 10:01:00,623,1.0,0,4,0,2937,26.14749053,91.72799688
11,2016-10-15 10:01:00,858,1.0,0,3,0,3883,26.14749943,91.72800489
2,2016-10-15 10:01:00,321,1.0,0,3,0,687,20.0000347,78.00000286
8,2016-10-15 10:01:00,875,1.0,0,3,0,2009,26.14747299,91.72804914
5,2016-10-15 10:01:00,72,0.7,0,3,0,470,26.14901995,91.7395035
0,2016-10-15 10:01:00,154,1.0,0,3,0,577,26.14453614,91.73617216
13,2016-10-15 10:01:00,671,1.0,0,4,0,3103,26.14749998,91.72797778
1,2016-10-15 10:01:00,200,1.0,0,3,0,1200,26.14001386,91.73099967
3,2016-10-15 10:01:00,302,0.5,0,3,0,485,26.14004753,91.73097233
7,2016-10-15 10:01:00,554,1.5,0,4,0,1322,26.14754886,91.72799519
1,2016-10-15 10:27:00,228,0.5,0,3,0,1200,26.14001386,91.73099967
9,2016-10-15 10:27:00,301,1.0,0,2,0,2803,26.14754061,91.72797041
4,2016-10-15 10:27:00,552,1.0,0,3,0,1920,26.15050395,91.73353109
10,2016-10-15 10:27:00,230,1.0,0,3,0,387,26.14449459,91.73620513
3,2016-10-15 10:27:00,308,1.0,0,4,0,485,26.14004753,91.73097233
7,2016-10-15 10:27:00,594,0.7,1,4,0,1322,26.14754886,91.72799519
6,2016-10-15 10:27:00,132,1.0,1,3,0,690,26.13795775,91.74099445
2,2016-10-15 10:27:00,325,1.0,0,3,0,687,20.0000347,78.00000286
11,2016-10-15 10:27:00,943,1.0,0,4,0,3883,26.14749943,91.72800489
13,2016-10-15 10:27:00,704,1.0,0,4,0,3103,26.14749998,91.72797778
5,2016-10-15 10:27:00,91,0.7,0,2,0,470,26.14901995,91.7395035
0,2016-10-15 10:27:00,171,1.0,0,3,0,577,26.14453614,91.73617216
8,2016-10-15 10:27:00,919,0.7,0,4,0,2009,26.14747299,91.72804914
12,2016-10-15 10:27:00,670,1.0,0,3,0,2937,26.14749053,91.72799688
10,2016-10-15 11:01:00,259,0.7,1,5,0,387,26.14449459,91.73620513
11,2016-10-15 11:01:00,1036,1.0,1,6,0,3883,26.14749943,91.72800489
1,2016-10-15 11:01:00,273,1.0,1,5,0,1200,26.14001386,91.73099967
9,2016-10-15 11:01:00,360,1.0,2,7,0,2803,26.14754061,91.72797041
7,2016-10-15 11:01:00,630,1.0,1,6,0,1322,26.14754886,91.72799519
2,2016-10-15 11:01:00,323,0.7,1,5,0,687,20.0000347,78.00000286
4,2016-10-15 11:01:00,613,1.0,1,5,0,1920,26.15050395,91.73353109
8,2016-10-15 11:01:00,953,0.7,1,6,0,2009,26.14747299,91.72804914
3,2016-10-15 11:01:00,305,1.0,1,4,0,485,26.14004753,91.73097233
12,2016-10-15 11:01:00,700,0.5,1,6,0,2937,26.14749053,91.72799688
13,2016-10-15 11:01:00,729,1.0,1,5,0,3103,26.14749998,91.72797778
5,2016-10-15 11:01:00,94,0.5,2,6,0,470,26.14901995,91.7395035
0,2016-10-15 11:01:00,211,1.0,1,4,0,577,26.14453614,91.73617216
6,2016-10-15 11:01:00,136,1.0,2,6,0,690,26.13795775,91.74099445
2,2016-10-15 11:27:00,327,1.0,1,5,0,687,20.0000347,78.00000286
1,2016-10-15 11:27:00,278,1.0,2,6,0,1200,26.14001386,91.73099967
4,2016-10-15 11:27:00,629,1.0,1,6,0,1920,26.15050395,91.73353109
3,2016-10-15 11:27:00,311,0.5,1,5,0,485,26.14004753,91.73097233
13,2016-10-15 11:27:00,756,1.0,1,6,0,3103,26.14749998,91.72797778
0,2016-10-15 11:27:00,239,1.0,1,4,0,577,26.14453614,91.73617216
8,2016-10-15 11:27:00,1000,1.5,1,6,0,2009,26.14747299,91.72804914
10,2016-10-15 11:27:00,290,1.0,2,7,0,387,26.14449459,91.73620513
5,2016-10-15 11:27:00,105,0.7,1,4,0,470,26.14901995,91.7395035
12,2016-10-15 11:27:00,750,1.5,1,6,0,2937,26.14749053,91.72799688
7,2016-10-15 11:27:00,673,1.0,1,5,0,1322,26.14754886,91.72799519
11,2016-10-15 11:27:00,1087,1.0,1,6,0,3883,26.14749943,91.72800489
9,2016-10-15 11:27:00,408,0.7,1,5,0,2803,26.14754061,91.72797041
6,2016-10-15 11:27:00,149,1.0,1,5,0,690,26.13795775,91.74099445
2,2016-10-15 12:01:00,333,0.5,2,8,0,687,20.0000347,78.00000286
13,2016-10-15 12:01:00,798,0.7,2,9,0,3103,26.14749998,91.72797778
5,2016-10-15 12:01:00,109,1.0,2,6,0,470,26.14901995,91.7395035
3,2016-10-15 12:01:00,318,0.7,2,8,0,485,26.14004753,91.73097233
6,2016-10-15 12:01:00,154,1.0,2,7,0,690,26.13795775,91.74099445
7,2016-10-15 12:01:00,729,1.0,2,9,0,1322,26.14754886,91.72799519
4,2016-10-15 12:01:00,669,0.5,2,9,0,1920,26.15050395,91.73353109
1,2016-10-15 12:01:00,302,1.0,2,8,0,1200,26.14001386,91.73099967
0,2016-10-15 12:01:00,276,1.0,2,8,0,577,26.14453614,91.73617216
12,2016-10-15 12:01:00,785,0.7,2,8,0,2937,26.14749053,91.72799688
8,2016-10-15 12:01:00,1062,1.0,2,9,0,2009,26.14747299,91.72804914
11,2016-10-15 12:01:00,1177,1.0,2,9,0,3883,26.14749943,91.72800489
9,2016-10-15 12:01:00,460,0.5,2,8,0,2803,26.14754061,91.72797041
10,2016-10-15 12:01:00,313,0.7,2,7,0,387,26.14449459,91.73620513
6,2016-10-15 12:27:00,153,1.0,2,7,0,690,26.13795775,91.74099445
11,2016-10-15 12:27:00,1249,1.5,2,9,0,3883,26.14749943,91.72800489
4,2016-10-15 12:27:00,708,1.0,2,9,0,1920,26.15050395,91.73353109
5,2016-10-15 12:27:00,108,1.0,2,6,0,470,26.14901995,91.7395035
13,2016-10-15 12:27:00,826,0.5,2,9,0,3103,26.14749998,91.72797778
8,2016-10-15 12:27:00,1123,0.7,2,10,0,2009,26.14747299,91.72804914
2,2016-10-15 12:27:00,335,1.0,2,8,0,687,20.0000347,78.00000286
7,2016-10-15 12:27:00,788,1.0,2,9,0,1322,26.14754886,91.72799519
3,2016-10-15 12:27:00,329,1.0,2,8,0,485,26.14004753,91.73097233
0,2016-10-15 12:27:00,297,1.0,2,8,0,577,26.14453614,91.73617216
9,2016-10-15 12:27:00,497,0.7,2,9,0,2803,26.14754061,91.72797041
1,2016-10-15 12:27:00,327,1.0,2,8,0,1200,26.14001386,91.73099967
12,2016-10-15 12:27:00,817,0.7,2,9,0,2937,26.14749053,91.72799688
10,2016-10-15 12:27:00,335,1.0,2,8,0,387,26.14449459,91.73620513
7,2016-10-15 13:01:00,830,1.0,2,9,0,1322,26.14754886,91.72799519
6,2016-10-15 13:01:00,164,1.0,1,4,0,690,26.13795775,91.74099445
11,2016-10-15 13:01:00,1365,1.0,2,9,0,3883,26.14749943,91.72800489
9,2016-10-15 13:01:00,527,0.7,2,8,0,2803,26.14754061,91.72797041
0,2016-10-15 13:01:00,332,1.0,2,7,0,577,26.14453614,91.73617216
4,2016-10-15 13:01:00,783,0.7,2,9,0,1920,26.15050395,91.73353109
8,2016-10-15 13:01:00,1191,1.0,2,8,0,2009,26.14747299,91.72804914
10,2016-10-15 13:01:00,345,1.0,2,7,0,387,26.14449459,91.73620513
3,2016-10-15 13:01:00,353,1.0,2,8,0,485,26.14004753,91.73097233
13,2016-10-15 13:01:00,896,1.0,2,8,0,3103,26.14749998,91.72797778
1,2016-10-15 13:01:00,383,0.7,2,7,0,1200,26.14001386,91.73099967
12,2016-10-15 13:01:00,862,0.5,1,6,0,2937,26.14749053,91.72799688
2,2016-10-15 13:01:00,361,1.0,2,7,0,687,20.0000347,78.00000286
5,2016-10-15 13:01:00,117,0.7,2,6,0,470,26.14901995,91.7395035
12,2016-10-15 13:34:00,898,1.5,2,8,0,2937,26.14749053,91.72799688
8,2016-10-15 13:34:00,1285,1.0,1,6,0,2009,26.14747299,91.72804914
13,2016-10-15 13:34:00,997,1.0,1,6,0,3103,26.14749998,91.72797778
10,2016-10-15 13:34:00,345,0.7,1,5,0,387,26.14449459,91.73620513
4,2016-10-15 13:34:00,848,0.5,2,8,0,1920,26.15050395,91.73353109
3,2016-10-15 13:34:00,381,1.0,2,7,0,485,26.14004753,91.73097233
11,2016-10-15 13:34:00,1441,0.5,2,9,0,3883,26.14749943,91.72800489
2,2016-10-15 13:34:00,416,1.5,2,6,0,687,20.0000347,78.00000286
0,2016-10-15 13:34:00,352,1.0,2,8,0,577,26.14453614,91.73617216
7,2016-10-15 13:34:00,869,1.0,2,8,0,1322,26.14754886,91.72799519
1,2016-10-15 13:34:00,431,0.7,2,7,0,1200,26.14001386,91.73099967
9,2016-10-15 13:34:00,545,0.5,2,7,0,2803,26.14754061,91.72797041
6,2016-10-15 13:34:00,172,1.0,1,5,0,690,26.13795775,91.74099445
5,2016-10-15 13:34:00,124,1.0,2,6,0,470,26.14901995,91.7395035
11,2016-10-15 14:01:00,1458,1.0,2,7,0,3883,26.14749943,91.72800489
13,2016-10-15 14:01:00,1059,1.0,1,5,0,3103,26.14749998,91.72797778
3,2016-10-15 14:01:00,399,1.0,2,6,0,485,26.14004753,91.73097233
9,2016-10-15 14:01:00,547,0.7,1,4,0,2803,26.14754061,91.72797041
10,2016-10-15 14:01:00,344,1.0,1,4,0,387,26.14449459,91.73620513
7,2016-10-15 14:01:00,901,0.7,1,4,0,1322,26.14754886,91.72799519
12,2016-10-15 14:01:00,928,1.0,1,4,0,2937,26.14749053,91.72799688
2,2016-10-15 14:01:00,457,1.0,1,4,0,687,20.0000347,78.00000286
0,2016-10-15 14:01:00,391,1.0,2,6,0,577,26.14453614,91.73617216
5,2016-10-15 14:01:00,135,1.5,1,3,0,470,26.14901995,91.7395035
6,2016-10-15 14:01:00,185,1.5,2,5,0,690,26.13795775,91.74099445
4,2016-10-15 14:01:00,863,1.0,1,5,0,1920,26.15050395,91.73353109
8,2016-10-15 14:01:00,1358,0.5,1,5,0,2009,26.14747299,91.72804914
1,2016-10-15 14:01:00,441,1.5,1,4,0,1200,26.14001386,91.73099967
4,2016-10-15 14:27:00,880,1.5,1,5,0,1920,26.15050395,91.73353109
5,2016-10-15 14:27:00,144,1.0,2,5,0,470,26.14901995,91.7395035
7,2016-10-15 14:27:00,921,1.0,1,4,0,1322,26.14754886,91.72799519
11,2016-10-15 14:27:00,1472,1.0,1,5,0,3883,26.14749943,91.72800489
8,2016-10-15 14:27:00,1401,1.0,1,5,0,2009,26.14747299,91.72804914
1,2016-10-15 14:27:00,455,0.5,1,4,0,1200,26.14001386,91.73099967
3,2016-10-15 14:27:00,390,1.0,1,4,0,485,26.14004753,91.73097233
13,2016-10-15 14:27:00,1062,1.0,1,5,0,3103,26.14749998,91.72797778
6,2016-10-15 14:27:00,195,0.7,1,4,0,690,26.13795775,91.74099445
12,2016-10-15 14:27:00,930,0.7,1,4,0,2937,26.14749053,91.72799688
0,2016-10-15 14:27:00,409,1.0,1,4,0,577,26.14453614,91.73617216
9,2016-10-15 14:27:00,537,0.5,1,4,0,2803,26.14754061,91.72797041
10,2016-10-15 14:27:00,345,1.0,1,4,0,387,26.14449459,91.73620513
2,2016-10-15 14:27:00,480,1.0,1,4,0,687,20.0000347,78.00000286
9,2016-10-15 15:01:00,526,1.0,0,2,0,2803,26.14754061,91.72797041
4,2016-10-15 15:01:00,905,1.0,0,3,0,1920,26.15050395,91.73353109
0,2016-10-15 15:01:00,442,1.0,0,3,0,577,26.14453614,91.73617216
6,2016-10-15 15:01:00,204,1.0,0,2,0,690,26.13795775,91.74099445
1,2016-10-15 15:01:00,476,1.0,1,3,0,1200,26.14001386,91.73099967
8,2016-10-15 15:01:00,1413,1.0,0,3,0,2009,26.14747299,91.72804914
12,2016-10-15 15:01:00,942,1.0,0,3,0,2937,26.14749053,91.72799688
13,2016-10-15 15:01:00,1060,0.5,0,3,0,3103,26.14749998,91.72797778
2,2016-10-15 15:01:00,486,1.5,0,2,0,687,20.0000347,78.00000286
11,2016-10-15 15:01:00,1509,0.7,0,3,0,3883,26.14749943,91.72800489
10,2016-10-15 15:01:00,345,1.0,0,2,0,387,26.14449459,91.73620513
7,2016-10-15 15:01:00,927,0.7,1,3,0,1322,26.14754886,91.72799519
5,2016-10-15 15:01:00,152,1.5,0,3,0,470,26.14901995,91.7395035
3,2016-10-15 15:01:00,393,1.0,0,2,0,485,26.14004753,91.73097233
6,2016-10-15 15:27:00,218,1.0,0,2,0,690,26.13795775,91.74099445
13,2016-10-15 15:27:00,1052,0.7,0,3,0,3103,26.14749998,91.72797778
7,2016-10-15 15:27:00,915,0.7,0,3,0,1322,26.14754886,91.72799519
11,2016-10-15 15:27:00,1478,1.5,0,3,0,3883,26.14749943,91.72800489
10,2016-10-15 15:27:00,345,1.5,0,3,0,387,26.14449459,91.73620513
2,2016-10-15 15:27:00,498,0.5,0,3,0,687,20.0000347,78.00000286
3,2016-10-15 15:27:00,389,1.0,0,2,0,485,26.14004753,91.73097233
8,2016-10-15 15:27:00,1413,1.0,0,3,0,2009,26.14747299,91.72804914
5,2016-10-15 15:27:00,167,0.5,0,3,0,470,26.14901995,91.7395035
12,2016-10-15 15:27:00,952,1.0,1,4,0,2937,26.14749053,91.72799688
4,2016-10-15 15:27:00,881,0.5,0,3,0,1920,26.15050395,91.73353109
0,2016-10-15 15:27:00,428,0.7,0,3,0,577,26.14453614,91.73617216
9,2016-10-15 15:27:00,510,1.0,0,2,0,2803,26.14754061,91.72797041
1,2016-10-15 15:27:00,480,1.0,0,3,0,1200,26.14001386,91.73099967
2,2016-10-15 16:01:00,497,1.0,1,3,0,687,20.0000347,78.00000286
6,2016-10-15 16:01:00,224,1.0,0,1,0,690,26.13795775,91.74099445
10,2016-10-15 16:01:00,344,1.5,0,3,0,387,26.14449459,91.73620513
12,2016-10-15 16:01:00,965,1.5,0,3,0,2937,26.14749053,91.72799688
9,2016-10-15 16:01:00,499,0.7,0,2,0,2803,26.14754061,91.72797041
4,2016-10-15 16:01:00,853,0.7,0,2,0,1920,26.15050395,91.73353109
7,2016-10-15 16:01:00,905,1.0,0,3,0,1322,26.14754886,91.72799519
0,2016-10-15 16:01:00,412,1.0,0,2,0,577,26.14453614,91.73617216
8,2016-10-15 16:01:00,1402,0.7,0,2,0,2009,26.14747299,91.72804914
13,2016-10-15 16:01:00,1049,1.0,0,3,0,3103,26.14749998,91.72797778
5,2016-10-15 16:01:00,172,1.0,0,2,0,470,26.14901995,91.7395035
3,2016-10-15 16:01:00,397,1.0,0,2,0,485,26.14004753,91.73097233
11,2016-10-15 16:01:00,1399,0.7,0,3,0,3883,26.14749943,91.72800489
1,2016-10-15 16:01:00,479,1.0,0,2,0,1200,26.14001386,91.73099967
1,2016-10-15 16:27:00,442,1.5,0,2,0,1200,26.14001386,91.73099967
4,2016-10-15 16:27:00,789,1.0,0,2,0,1920,26.15050395,91.73353109
0,2016-10-15 16:27:00,393,0.7,0,2,0,577,26.14453614,91.73617216
5,2016-10-15 16:27:00,167,1.0,0,2,0,470,26.14901995,91.7395035
12,2016-10-15 16:27:00,949,0.5,0,3,0,2937,26.14749053,91.72799688
6,2016-10-15 16:27:00,218,1.0,0,2,0,690,26.13795775,91.74099445
3,2016-10-15 16:27:00,397,1.0,0,2,0,485,26.14004753,91.73097233
2,2016-10-15 16:27:00,479,1.0,0,2,0,687,20.0000347,78.00000286
11,2016-10-15 16:27:00,1306,1.5,0,3,0,3883,26.14749943,91.72800489
13,2016-10-15 16:27:00,1016,0.7,0,2,0,3103,26.14749998,91.72797778
10,2016-10-15 16:27:00,334,1.0,0,2,0,387,26.14449459,91.73620513
9,2016-10-15 16:27:00,474,1.0,0,3,0,2803,26.14754061,91.72797041
7,2016-10-15 16:27:00,884,1.0,0,2,0,1322,26.14754886,91.72799519
8,2016-10-15 16:27:00,1363,1.5,0,3,0,2009,26.14747299,91.72804914
1,2016-10-16 07:47:00,87,1.5,1,2,1,1200,26.14001386,91.73099967
3,2016-10-16 08:04:00,298,0.5,0,3,1,485,26.14004753,91.73097233
13,2016-10-16 08:04:00,599,1.0,1,3,1,3103,26.14749998,91.72797778
4,2016-10-16 08:04:00,297,1.0,0,3,1,1920,26.15050395,91.73353109
5,2016-10-16 08:04:00,40,1.0,0,2,1,470,26.14901995,91.7395035
9,2016-10-16 08:04:00,191,1.0,0,2,1,2803,26.14754061,91.72797041
7,2016-10-16 08:04:00,445,1.0,0,4,1,1322,26.14754886,91.72799519
2,2016-10-16 08:04:00,244,1.0,0,3,1,687,20.0000347,78.00000286
6,2016-10-16 08:04:00,74,0.7,0,2,1,690,26.13795775,91.74099445
12,2016-10-16 08:04:00,506,1.0,0,3,1,2937,26.14749053,91.72799688
8,2016-10-16 08:04:00,689,0.7,0,3,1,2009,26.14747299,91.72804914
0,2016-10-16 08:04:00,48,1.0,0,2,1,577,26.14453614,91.73617216
11,2016-10-16 08:04:00,547,0.7,0,3,1,3883,26.14749943,91.72800489
10,2016-10-16 08:04:00,134,1.0,0,2,1,387,26.14449459,91.73620513
12,2016-10-16 08:27:00,564,1.0,0,3,1,2937,26.14749053,91.72799688
13,2016-10-16 08:27:00,665,0.7,0,3,1,3103,26.14749998,91.72797778
7,2016-10-16 08:27:00,481,1.0,0,3,1,1322,26.14754886,91.72799519
3,2016-10-16 08:27:00,311,0.7,0,3,1,485,26.14004753,91.73097233
11,2016-10-16 08:27:00,608,0.7,0,3,1,3883,26.14749943,91.72800489
9,2016-10-16 08:27:00,246,1.0,1,3,1,2803,26.14754061,91.72797041
8,2016-10-16 08:27:00,746,1.0,1,4,1,2009,26.14747299,91.72804914
1,2016-10-16 08:27:00,91,1.0,1,3,1,1200,26.14001386,91.73099967
10,2016-10-16 08:27:00,157,1.0,1,3,1,387,26.14449459,91.73620513
4,2016-10-16 08:27:00,324,1.0,0,3,1,1920,26.15050395,91.73353109
6,2016-10-16 08:27:00,96,0.7,0,2,1,690,26.13795775,91.74099445
0,2016-10-16 08:27:00,48,0.7,0,2,1,577,26.14453614,91.73617216
5,2016-10-16 08:27:00,55,1.0,1,2,1,470,26.14901995,91.7395035
2,2016-10-16 08:27:00,265,1.0,0,2,1,687,20.0000347,78.00000286
2,2016-10-16 09:01:00,342,1.0,0,4,1,687,20.0000347,78.00000286
13,2016-10-16 09:01:00,798,1.5,0,3,1,3103,26.14749998,91.72797778
6,2016-10-16 09:01:00,122,0.7,1,3,1,690,26.13795775,91.74099445
5,2016-10-16 09:01:00,76,0.7,0,3,1,470,26.14901995,91.7395035
7,2016-10-16 09:01:00,600,1.0,0,4,1,1322,26.14754886,91.72799519
3,2016-10-16 09:01:00,326,1.0,0,4,1,485,26.14004753,91.73097233
4,2016-10-16 09:01:00,420,1.0,1,4,1,1920,26.15050395,91.73353109
11,2016-10-16 09:01:00,847,1.0,0,3,1,3883,26.14749943,91.72800489
9,2016-10-16 09:01:00,379,0.5,0,3,1,2803,26.14754061,91.72797041
10,2016-10-16 09:01:00,249,1.0,0,3,1,387,26.14449459,91.73620513
0,2016-10-16 09:01:00,55,1.0,0,2,1,577,26.14453614,91.73617216
1,2016-10-16 09:01:00,111,1.0,0,3,1,1200,26.14001386,91.73099967
12,2016-10-16 09:01:00,697,1.0,0,3,1,2937,26.14749053,91.72799688
8,2016-10-16 09:01:00,942,0.5,0,3,1,2009,26.14747299,91.72804914
11,2016-10-16 09:27:00,1104,1.0,0,5,1,3883,26.14749943,91.72800489
3,2016-10-16 09:27:00,345,0.7,0,3,1,485,26.14004753,91.73097233
13,2016-10-16 09:27:00,921,1.0,0,4,1,3103,26.14749998,91.72797778
0,2016-10-16 09:27:00,57,1.0,0,2,1,577,26.14453614,91.73617216
5,2016-10-16 09:27:00,90,1.0,0,2,1,470,26.14901995,91.7395035
4,2016-10-16 09:27:00,520,1.5,0,3,1,1920,26.15050395,91.73353109
6,2016-10-16 09:27:00,142,1.0,0,3,1,690,26.13795775,91.74099445
12,2016-10-16 09:27:00,823,0.7,0,4,1,2937,26.14749053,91.72799688
10,2016-10-16 09:27:00,336,0.7,0,3,1,387,26.14449459,91.73620513
7,2016-10-16 09:27:00,711,1.0,0,3,1,1322,26.14754886,91.72799519
1,2016-10-16 09:27:00,131,1.0,0,3,1,1200,26.14001386,91.73099967
9,2016-10-16 09:27:00,512,1.0,0,3,1,2803,26.14754061,91.72797041
2,2016-10-16 09:27:00,400,0.7,0,3,1,687,20.0000347,78.00000286
8,2016-10-16 09:27:00,1111,0.7,0,4,1,2009,26.14747299,91.72804914
1,2016-10-16 10:01:00,165,1.0,1,5,1,1200,26.14001386,91.73099967
8,2016-10-16 10:04:00,1190,1.0,0,6,1,2009,26.14747299,91.72804914
5,2016-10-16 10:04:00,116,1.0,0,4,1,470,26.14901995,91.7395035
6,2016-10-16 10:04:00,172,0.7,0,4,1,690,26.13795775,91.74099445
12,2016-10-16 10:04:00,870,1.0,1,6,1,2937,26.14749053,91.72799688
0,2016-10-16 10:04:00,57,1.0,0,4,1,577,26.14453614,91.73617216
11,2016-10-16 10:04:00,1379,0.7,0,5,1,3883,26.14749943,91.72800489
9,2016-10-16 10:04:00,570,1.5,0,5,1,2803,26.14754061,91.72797041
